"","type","batch"
"cell 947","ductal","celseq"
"cell 948","ductal","celseq"
"cell 949","ductal","celseq"
"cell 950","ductal","celseq"
"cell 951","ductal","celseq"
"cell 952","ductal","celseq"
"cell 953","ductal","celseq"
"cell 954","ductal","celseq"
"cell 955","ductal","celseq"
"cell 956","ductal","celseq"
"cell 957","ductal","celseq"
"cell 958","gamma","celseq"
"cell 959","gamma","celseq"
"cell 960","gamma","celseq"
"cell 961","gamma","celseq"
"cell 962","gamma","celseq"
"cell 963","gamma","celseq"
"cell 964","gamma","celseq"
"cell 965","gamma","celseq"
"cell 966","gamma","celseq"
"cell 967","gamma","celseq"
"cell 968","gamma","celseq"
"cell 969","gamma","celseq"
"cell 970","gamma","celseq"
"cell 971","gamma","celseq"
"cell 972","gamma","celseq"
"cell 973","gamma","celseq"
"cell 974","gamma","celseq"
"cell 975","gamma","celseq"
"cell 976","acinar","celseq2"
"cell 977","acinar","celseq2"
"cell 978","acinar","celseq2"
"cell 979","acinar","celseq2"
"cell 980","acinar","celseq2"
"cell 981","acinar","celseq2"
"cell 982","acinar","celseq2"
"cell 983","acinar","celseq2"
"cell 984","acinar","celseq2"
"cell 985","acinar","celseq2"
"cell 986","acinar","celseq2"
"cell 987","acinar","celseq2"
"cell 988","acinar","celseq2"
"cell 989","acinar","celseq2"
"cell 990","acinar","celseq2"
"cell 991","acinar","celseq2"
"cell 992","acinar","celseq2"
"cell 993","acinar","celseq2"
"cell 994","acinar","celseq2"
"cell 995","acinar","celseq2"
"cell 996","acinar","celseq2"
"cell 997","acinar","celseq2"
"cell 998","acinar","celseq2"
"cell 999","acinar","celseq2"
"cell 1000","acinar","celseq2"
"cell 1001","acinar","celseq2"
"cell 1002","acinar","celseq2"
"cell 1003","acinar","celseq2"
"cell 1004","acinar","celseq2"
"cell 1005","acinar","celseq2"
"cell 1006","acinar","celseq2"
"cell 1007","acinar","celseq2"
"cell 1008","acinar","celseq2"
"cell 1009","acinar","celseq2"
"cell 1010","acinar","celseq2"
"cell 1011","acinar","celseq2"
"cell 1012","acinar","celseq2"
"cell 1013","acinar","celseq2"
"cell 1014","acinar","celseq2"
"cell 1015","acinar","celseq2"
"cell 1016","acinar","celseq2"
"cell 1017","acinar","celseq2"
"cell 1018","acinar","celseq2"
"cell 1019","acinar","celseq2"
"cell 1020","acinar","celseq2"
"cell 1021","acinar","celseq2"
"cell 1022","acinar","celseq2"
"cell 1023","acinar","celseq2"
"cell 1024","acinar","celseq2"
"cell 1025","acinar","celseq2"
"cell 1026","acinar","celseq2"
"cell 1027","acinar","celseq2"
"cell 1028","acinar","celseq2"
"cell 1029","acinar","celseq2"
"cell 1030","acinar","celseq2"
"cell 1031","acinar","celseq2"
"cell 1032","acinar","celseq2"
"cell 1033","acinar","celseq2"
"cell 1034","acinar","celseq2"
"cell 1035","acinar","celseq2"
"cell 1036","acinar","celseq2"
"cell 1037","acinar","celseq2"
"cell 1038","acinar","celseq2"
"cell 1039","acinar","celseq2"
"cell 1040","acinar","celseq2"
"cell 1041","acinar","celseq2"
"cell 1042","acinar","celseq2"
"cell 1043","acinar","celseq2"
"cell 1044","acinar","celseq2"
"cell 1045","acinar","celseq2"
"cell 1046","acinar","celseq2"
"cell 1047","acinar","celseq2"
"cell 1048","acinar","celseq2"
"cell 1049","acinar","celseq2"
"cell 1050","acinar","celseq2"
"cell 1051","acinar","celseq2"
"cell 1052","acinar","celseq2"
"cell 1053","acinar","celseq2"
"cell 1054","acinar","celseq2"
"cell 1055","acinar","celseq2"
"cell 1056","acinar","celseq2"
"cell 1057","acinar","celseq2"
"cell 1058","acinar","celseq2"
"cell 1059","acinar","celseq2"
"cell 1060","acinar","celseq2"
"cell 1061","acinar","celseq2"
"cell 1062","acinar","celseq2"
"cell 1063","acinar","celseq2"
"cell 1064","acinar","celseq2"
"cell 1065","acinar","celseq2"
"cell 1066","acinar","celseq2"
"cell 1067","acinar","celseq2"
"cell 1068","acinar","celseq2"
"cell 1069","acinar","celseq2"
"cell 1070","acinar","celseq2"
"cell 1071","acinar","celseq2"
"cell 1072","acinar","celseq2"
"cell 1073","acinar","celseq2"
"cell 1074","acinar","celseq2"
"cell 1075","acinar","celseq2"
"cell 1076","acinar","celseq2"
"cell 1077","acinar","celseq2"
"cell 1078","acinar","celseq2"
"cell 1079","acinar","celseq2"
"cell 1080","acinar","celseq2"
"cell 1081","acinar","celseq2"
"cell 1082","acinar","celseq2"
"cell 1083","acinar","celseq2"
"cell 1084","acinar","celseq2"
"cell 1085","acinar","celseq2"
"cell 1086","acinar","celseq2"
"cell 1087","acinar","celseq2"
"cell 1088","acinar","celseq2"
"cell 1089","acinar","celseq2"
"cell 1090","acinar","celseq2"
"cell 1091","acinar","celseq2"
"cell 1092","acinar","celseq2"
"cell 1093","acinar","celseq2"
"cell 1094","acinar","celseq2"
"cell 1095","acinar","celseq2"
"cell 1096","acinar","celseq2"
"cell 1097","acinar","celseq2"
"cell 1098","acinar","celseq2"
"cell 1099","acinar","celseq2"
"cell 1100","acinar","celseq2"
"cell 1101","acinar","celseq2"
"cell 1102","acinar","celseq2"
"cell 1103","acinar","celseq2"
"cell 1104","acinar","celseq2"
"cell 1105","acinar","celseq2"
"cell 1106","acinar","celseq2"
"cell 1107","acinar","celseq2"
"cell 1108","acinar","celseq2"
"cell 1109","acinar","celseq2"
"cell 1110","acinar","celseq2"
"cell 1111","acinar","celseq2"
"cell 1112","acinar","celseq2"
"cell 1113","acinar","celseq2"
"cell 1114","acinar","celseq2"
"cell 1115","acinar","celseq2"
"cell 1116","acinar","celseq2"
"cell 1117","acinar","celseq2"
"cell 1118","acinar","celseq2"
"cell 1119","acinar","celseq2"
"cell 1120","acinar","celseq2"
"cell 1121","acinar","celseq2"
"cell 1122","acinar","celseq2"
"cell 1123","acinar","celseq2"
"cell 1124","acinar","celseq2"
"cell 1125","acinar","celseq2"
"cell 1126","acinar","celseq2"
"cell 1127","acinar","celseq2"
"cell 1128","acinar","celseq2"
"cell 1129","acinar","celseq2"
"cell 1130","acinar","celseq2"
"cell 1131","acinar","celseq2"
"cell 1132","acinar","celseq2"
"cell 1133","acinar","celseq2"
"cell 1134","acinar","celseq2"
"cell 1135","acinar","celseq2"
"cell 1136","acinar","celseq2"
"cell 1137","acinar","celseq2"
"cell 1138","acinar","celseq2"
"cell 1139","acinar","celseq2"
"cell 1140","acinar","celseq2"
"cell 1141","acinar","celseq2"
"cell 1142","acinar","celseq2"
"cell 1143","acinar","celseq2"
"cell 1144","acinar","celseq2"
"cell 1145","acinar","celseq2"
"cell 1146","acinar","celseq2"
"cell 1147","acinar","celseq2"
"cell 1148","acinar","celseq2"
"cell 1149","acinar","celseq2"
"cell 1150","acinar","celseq2"
"cell 1151","acinar","celseq2"
"cell 1152","acinar","celseq2"
"cell 1153","acinar","celseq2"
"cell 1154","acinar","celseq2"
"cell 1155","acinar","celseq2"
"cell 1156","acinar","celseq2"
"cell 1157","acinar","celseq2"
"cell 1158","acinar","celseq2"
"cell 1159","acinar","celseq2"
"cell 1160","acinar","celseq2"
"cell 1161","acinar","celseq2"
"cell 1162","acinar","celseq2"
"cell 1163","acinar","celseq2"
"cell 1164","acinar","celseq2"
"cell 1165","acinar","celseq2"
"cell 1166","acinar","celseq2"
"cell 1167","acinar","celseq2"
"cell 1168","acinar","celseq2"
"cell 1169","acinar","celseq2"
"cell 1170","acinar","celseq2"
"cell 1171","acinar","celseq2"
"cell 1172","acinar","celseq2"
"cell 1173","acinar","celseq2"
"cell 1174","acinar","celseq2"
"cell 1175","acinar","celseq2"
"cell 1176","acinar","celseq2"
"cell 1177","acinar","celseq2"
"cell 1178","acinar","celseq2"
"cell 1179","acinar","celseq2"
"cell 1180","acinar","celseq2"
"cell 1181","acinar","celseq2"
"cell 1182","acinar","celseq2"
"cell 1183","acinar","celseq2"
"cell 1184","acinar","celseq2"
"cell 1185","acinar","celseq2"
"cell 1186","acinar","celseq2"
"cell 1187","acinar","celseq2"
"cell 1188","acinar","celseq2"
"cell 1189","acinar","celseq2"
"cell 1190","acinar","celseq2"
"cell 1191","acinar","celseq2"
"cell 1192","acinar","celseq2"
"cell 1193","acinar","celseq2"
"cell 1194","acinar","celseq2"
"cell 1195","acinar","celseq2"
"cell 1196","acinar","celseq2"
"cell 1197","acinar","celseq2"
"cell 1198","acinar","celseq2"
"cell 1199","acinar","celseq2"
"cell 1200","acinar","celseq2"
"cell 1201","acinar","celseq2"
"cell 1202","acinar","celseq2"
"cell 1203","acinar","celseq2"
"cell 1204","acinar","celseq2"
"cell 1205","acinar","celseq2"
"cell 1206","acinar","celseq2"
"cell 1207","acinar","celseq2"
"cell 1208","acinar","celseq2"
"cell 1209","acinar","celseq2"
"cell 1210","acinar","celseq2"
"cell 1211","acinar","celseq2"
"cell 1212","acinar","celseq2"
"cell 1213","acinar","celseq2"
"cell 1214","acinar","celseq2"
"cell 1215","acinar","celseq2"
"cell 1216","acinar","celseq2"
"cell 1217","acinar","celseq2"
"cell 1218","acinar","celseq2"
"cell 1219","acinar","celseq2"
"cell 1220","acinar","celseq2"
"cell 1221","acinar","celseq2"
"cell 1222","acinar","celseq2"
"cell 1223","acinar","celseq2"
"cell 1224","acinar","celseq2"
"cell 1225","acinar","celseq2"
"cell 1226","acinar","celseq2"
"cell 1227","acinar","celseq2"
"cell 1228","acinar","celseq2"
"cell 1229","acinar","celseq2"
"cell 1230","acinar","celseq2"
"cell 1231","acinar","celseq2"
"cell 1232","acinar","celseq2"
"cell 1233","acinar","celseq2"
"cell 1234","acinar","celseq2"
"cell 1235","acinar","celseq2"
"cell 1236","acinar","celseq2"
"cell 1237","acinar","celseq2"
"cell 1238","acinar","celseq2"
"cell 1239","acinar","celseq2"
"cell 1240","acinar","celseq2"
"cell 1241","acinar","celseq2"
"cell 1242","acinar","celseq2"
"cell 1243","acinar","celseq2"
"cell 1244","acinar","celseq2"
"cell 1245","acinar","celseq2"
"cell 1246","acinar","celseq2"
"cell 1247","acinar","celseq2"
"cell 1248","acinar","celseq2"
"cell 1249","acinar","celseq2"
"cell 1250","alpha","celseq2"
"cell 1251","alpha","celseq2"
"cell 1252","alpha","celseq2"
"cell 1253","alpha","celseq2"
"cell 1254","alpha","celseq2"
"cell 1255","alpha","celseq2"
"cell 1256","alpha","celseq2"
"cell 1257","alpha","celseq2"
"cell 1258","alpha","celseq2"
"cell 1259","alpha","celseq2"
"cell 1260","alpha","celseq2"
"cell 1261","alpha","celseq2"
"cell 1262","alpha","celseq2"
"cell 1263","alpha","celseq2"
"cell 1264","alpha","celseq2"
"cell 1265","alpha","celseq2"
"cell 1266","alpha","celseq2"
"cell 1267","alpha","celseq2"
"cell 1268","alpha","celseq2"
"cell 1269","alpha","celseq2"
"cell 1270","alpha","celseq2"
"cell 1271","alpha","celseq2"
"cell 1272","alpha","celseq2"
"cell 1273","alpha","celseq2"
"cell 1274","alpha","celseq2"
"cell 1275","alpha","celseq2"
"cell 1276","alpha","celseq2"
"cell 1277","alpha","celseq2"
"cell 1278","alpha","celseq2"
"cell 1279","alpha","celseq2"
"cell 1280","alpha","celseq2"
"cell 1281","alpha","celseq2"
"cell 1282","alpha","celseq2"
"cell 1283","alpha","celseq2"
"cell 1284","alpha","celseq2"
"cell 1285","alpha","celseq2"
"cell 1286","alpha","celseq2"
"cell 1287","alpha","celseq2"
"cell 1288","alpha","celseq2"
"cell 1289","alpha","celseq2"
"cell 1290","alpha","celseq2"
"cell 1291","alpha","celseq2"
"cell 1292","alpha","celseq2"
"cell 1293","alpha","celseq2"
"cell 1294","alpha","celseq2"
"cell 1295","alpha","celseq2"
"cell 1296","alpha","celseq2"
"cell 1297","alpha","celseq2"
"cell 1298","alpha","celseq2"
"cell 1299","alpha","celseq2"
"cell 1300","alpha","celseq2"
"cell 1301","alpha","celseq2"
"cell 1302","alpha","celseq2"
"cell 1303","alpha","celseq2"
"cell 1304","alpha","celseq2"
"cell 1305","alpha","celseq2"
"cell 1306","alpha","celseq2"
"cell 1307","alpha","celseq2"
"cell 1308","alpha","celseq2"
"cell 1309","alpha","celseq2"
"cell 1310","alpha","celseq2"
"cell 1311","alpha","celseq2"
"cell 1312","alpha","celseq2"
"cell 1313","alpha","celseq2"
"cell 1314","alpha","celseq2"
"cell 1315","alpha","celseq2"
"cell 1316","alpha","celseq2"
"cell 1317","alpha","celseq2"
"cell 1318","alpha","celseq2"
"cell 1319","alpha","celseq2"
"cell 1320","alpha","celseq2"
"cell 1321","alpha","celseq2"
"cell 1322","alpha","celseq2"
"cell 1323","alpha","celseq2"
"cell 1324","alpha","celseq2"
"cell 1325","alpha","celseq2"
"cell 1326","alpha","celseq2"
"cell 1327","alpha","celseq2"
"cell 1328","alpha","celseq2"
"cell 1329","alpha","celseq2"
"cell 1330","alpha","celseq2"
"cell 1331","alpha","celseq2"
"cell 1332","alpha","celseq2"
"cell 1333","alpha","celseq2"
"cell 1334","alpha","celseq2"
"cell 1335","alpha","celseq2"
"cell 1336","alpha","celseq2"
"cell 1337","alpha","celseq2"
"cell 1338","alpha","celseq2"
"cell 1339","alpha","celseq2"
"cell 1340","alpha","celseq2"
"cell 1341","alpha","celseq2"
"cell 1342","alpha","celseq2"
"cell 1343","alpha","celseq2"
"cell 1344","alpha","celseq2"
"cell 1345","alpha","celseq2"
"cell 1346","alpha","celseq2"
"cell 1347","alpha","celseq2"
"cell 1348","alpha","celseq2"
"cell 1349","alpha","celseq2"
"cell 1350","alpha","celseq2"
"cell 1351","alpha","celseq2"
"cell 1352","alpha","celseq2"
"cell 1353","alpha","celseq2"
"cell 1354","alpha","celseq2"
"cell 1355","alpha","celseq2"
"cell 1356","alpha","celseq2"
"cell 1357","alpha","celseq2"
"cell 1358","alpha","celseq2"
"cell 1359","alpha","celseq2"
"cell 1360","alpha","celseq2"
"cell 1361","alpha","celseq2"
"cell 1362","alpha","celseq2"
"cell 1363","alpha","celseq2"
"cell 1364","alpha","celseq2"
"cell 1365","alpha","celseq2"
"cell 1366","alpha","celseq2"
"cell 1367","alpha","celseq2"
"cell 1368","alpha","celseq2"
"cell 1369","alpha","celseq2"
"cell 1370","alpha","celseq2"
"cell 1371","alpha","celseq2"
"cell 1372","alpha","celseq2"
"cell 1373","alpha","celseq2"
"cell 1374","alpha","celseq2"
"cell 1375","alpha","celseq2"
"cell 1376","alpha","celseq2"
"cell 1377","alpha","celseq2"
"cell 1378","alpha","celseq2"
"cell 1379","alpha","celseq2"
"cell 1380","alpha","celseq2"
"cell 1381","alpha","celseq2"
"cell 1382","alpha","celseq2"
"cell 1383","alpha","celseq2"
"cell 1384","alpha","celseq2"
"cell 1385","alpha","celseq2"
"cell 1386","alpha","celseq2"
"cell 1387","alpha","celseq2"
"cell 1388","alpha","celseq2"
"cell 1389","alpha","celseq2"
"cell 1390","alpha","celseq2"
"cell 1391","alpha","celseq2"
"cell 1392","alpha","celseq2"
"cell 1393","alpha","celseq2"
"cell 1394","alpha","celseq2"
"cell 1395","alpha","celseq2"
"cell 1396","alpha","celseq2"
"cell 1397","alpha","celseq2"
"cell 1398","alpha","celseq2"
"cell 1399","alpha","celseq2"
"cell 1400","alpha","celseq2"
"cell 1401","alpha","celseq2"
"cell 1402","alpha","celseq2"
"cell 1403","alpha","celseq2"
"cell 1404","alpha","celseq2"
"cell 1405","alpha","celseq2"
"cell 1406","alpha","celseq2"
"cell 1407","alpha","celseq2"
"cell 1408","alpha","celseq2"
"cell 1409","alpha","celseq2"
"cell 1410","alpha","celseq2"
"cell 1411","alpha","celseq2"
"cell 1412","alpha","celseq2"
"cell 1413","alpha","celseq2"
"cell 1414","alpha","celseq2"
"cell 1415","alpha","celseq2"
"cell 1416","alpha","celseq2"
"cell 1417","alpha","celseq2"
"cell 1418","alpha","celseq2"
"cell 1419","alpha","celseq2"
"cell 1420","alpha","celseq2"
"cell 1421","alpha","celseq2"
"cell 1422","alpha","celseq2"
"cell 1423","alpha","celseq2"
"cell 1424","alpha","celseq2"
"cell 1425","alpha","celseq2"
"cell 1426","alpha","celseq2"
"cell 1427","alpha","celseq2"
"cell 1428","alpha","celseq2"
"cell 1429","alpha","celseq2"
"cell 1430","alpha","celseq2"
"cell 1431","alpha","celseq2"
"cell 1432","alpha","celseq2"
"cell 1433","alpha","celseq2"
"cell 1434","alpha","celseq2"
"cell 1435","alpha","celseq2"
"cell 1436","alpha","celseq2"
"cell 1437","alpha","celseq2"
"cell 1438","alpha","celseq2"
"cell 1439","alpha","celseq2"
"cell 1440","alpha","celseq2"
"cell 1441","alpha","celseq2"
"cell 1442","alpha","celseq2"
"cell 1443","alpha","celseq2"
"cell 1444","alpha","celseq2"
"cell 1445","alpha","celseq2"
"cell 1446","alpha","celseq2"
"cell 1447","alpha","celseq2"
"cell 1448","alpha","celseq2"
"cell 1449","alpha","celseq2"
"cell 1450","alpha","celseq2"
"cell 1451","alpha","celseq2"
"cell 1452","alpha","celseq2"
"cell 1453","alpha","celseq2"
"cell 1454","alpha","celseq2"
"cell 1455","alpha","celseq2"
"cell 1456","alpha","celseq2"
"cell 1457","alpha","celseq2"
"cell 1458","alpha","celseq2"
"cell 1459","alpha","celseq2"
"cell 1460","alpha","celseq2"
"cell 1461","alpha","celseq2"
"cell 1462","alpha","celseq2"
"cell 1463","alpha","celseq2"
"cell 1464","alpha","celseq2"
"cell 1465","alpha","celseq2"
"cell 1466","alpha","celseq2"
"cell 1467","alpha","celseq2"
"cell 1468","alpha","celseq2"
"cell 1469","alpha","celseq2"
"cell 1470","alpha","celseq2"
"cell 1471","alpha","celseq2"
"cell 1472","alpha","celseq2"
"cell 1473","alpha","celseq2"
"cell 1474","alpha","celseq2"
"cell 1475","alpha","celseq2"
"cell 1476","alpha","celseq2"
"cell 1477","alpha","celseq2"
"cell 1478","alpha","celseq2"
"cell 1479","alpha","celseq2"
"cell 1480","alpha","celseq2"
"cell 1481","alpha","celseq2"
"cell 1482","alpha","celseq2"
"cell 1483","alpha","celseq2"
"cell 1484","alpha","celseq2"
"cell 1485","alpha","celseq2"
"cell 1486","alpha","celseq2"
"cell 1487","alpha","celseq2"
"cell 1488","alpha","celseq2"
"cell 1489","alpha","celseq2"
"cell 1490","alpha","celseq2"
"cell 1491","alpha","celseq2"
"cell 1492","alpha","celseq2"
"cell 1493","alpha","celseq2"
"cell 1494","alpha","celseq2"
"cell 1495","alpha","celseq2"
"cell 1496","alpha","celseq2"
"cell 1497","alpha","celseq2"
"cell 1498","alpha","celseq2"
"cell 1499","alpha","celseq2"
"cell 1500","alpha","celseq2"
"cell 1501","alpha","celseq2"
"cell 1502","alpha","celseq2"
"cell 1503","alpha","celseq2"
"cell 1504","alpha","celseq2"
"cell 1505","alpha","celseq2"
"cell 1506","alpha","celseq2"
"cell 1507","alpha","celseq2"
"cell 1508","alpha","celseq2"
"cell 1509","alpha","celseq2"
"cell 1510","alpha","celseq2"
"cell 1511","alpha","celseq2"
"cell 1512","alpha","celseq2"
"cell 1513","alpha","celseq2"
"cell 1514","alpha","celseq2"
"cell 1515","alpha","celseq2"
"cell 1516","alpha","celseq2"
"cell 1517","alpha","celseq2"
"cell 1518","alpha","celseq2"
"cell 1519","alpha","celseq2"
"cell 1520","alpha","celseq2"
"cell 1521","alpha","celseq2"
"cell 1522","alpha","celseq2"
"cell 1523","alpha","celseq2"
"cell 1524","alpha","celseq2"
"cell 1525","alpha","celseq2"
"cell 1526","alpha","celseq2"
"cell 1527","alpha","celseq2"
"cell 1528","alpha","celseq2"
"cell 1529","alpha","celseq2"
"cell 1530","alpha","celseq2"
"cell 1531","alpha","celseq2"
"cell 1532","alpha","celseq2"
"cell 1533","alpha","celseq2"
"cell 1534","alpha","celseq2"
"cell 1535","alpha","celseq2"
"cell 1536","alpha","celseq2"
"cell 1537","alpha","celseq2"
"cell 1538","alpha","celseq2"
"cell 1539","alpha","celseq2"
"cell 1540","alpha","celseq2"
"cell 1541","alpha","celseq2"
"cell 1542","alpha","celseq2"
"cell 1543","alpha","celseq2"
"cell 1544","alpha","celseq2"
"cell 1545","alpha","celseq2"
"cell 1546","alpha","celseq2"
"cell 1547","alpha","celseq2"
